Route Id,Planet Origin,Planet Destination,Traffic Delay
1,A,B,0.3
2,A,C,0.9
3,A,D,0.1
4,B,H,0.2
5,B,E,1.3
6,C,F,0.3
7,D,L,0
8,D,M,0.2
9,H,G,3.1
10,E,I,6.1
11,F,J,2.4
12,F,K,0.3
13,G,Z,4
14,I,Z,3.7
15,I,J,2.9
16,L,T,9.8
17,T,N,8.8
18,T,S,13.4
19,S,O,6
20,O,U,3.5
21,J,R,5.4
22,R,P,1.9
23,R,L',0.7
24,Z,Y,3.2
25,Y,Q,20.3
26,Q,X,10.4
27,L',X,8.1
28,X,K',0.7
29,P,U,8.4
30,U,K',12.3
31,U,J',2.5
32,J',V,3
33,K',V,7.2
34,J',I',13.4
35,Y,A',17
36,A',B',7.2
37,B',C',21.3
38,K',W,16
39,W,C',4.7
40,W,E',33.9
41,C',D',30.1
42,E',E',7.6
43,E',F',34.2
44,F',G',2.4
45,G',H',1.1
